pulled_date,game_date,pitcher,book,line,over,under,our_model,our_dumb
2026-09-03,2026-09-03,Sandy Alcantara,draftkings,18.5,-107,-124,20.54,19.1
2026-09-03,2026-09-03,Sandy Alcantara,draftkings,18.5,124,-166,20.54,19.1
2026-09-04,2026-09-04,Andre Pallante,fanduel,11.5,-172,128,14.55,16.5
2026-09-04,2026-09-04,Jameson Taillon,draftkings,11.5,-187,140,14.83,16.6
2026-09-04,2026-09-04,Shane Drohan,fanduel,15.5,-114,-114,13.97,15.4
2026-09-04,2026-09-04,Chris Sale,fanduel,17.5,-166,124,17.33,18.6
2026-09-05,2026-09-05,Dustin May,fanduel,15.5,116,-154,14.84,16.2
2026-09-05,2026-09-05,Javier Assad,bovada,14.5,-140,100,14.32,15.6
2026-09-06,2026-09-06,Paul Skenes,draftkings,16.5,-137,103,13.37,16.5
2026-09-06,2026-09-06,Bailey Ober,draftkings,15.5,116,-154,15.26,17.1
2026-09-06,2026-09-06,Justin Wrobleski,fanduel,13.5,-114,-114,17.69,19.4
2026-09-06,2026-09-06,Bryan Hudson,betmgm,3.5,200,-295,1.9,3.43
2026-09-06,2026-09-06,MacKenzie Gore,fanduel,17.5,108,-144,16.08,14.7
2026-09-06,2026-09-06,Ian Seymour,fanduel,16.5,-146,108,12.67,14.0
2026-09-06,2026-09-06,Justin Wrobleski,bovada,12.5,100,-140,17.69,19.4
2026-09-06,2026-09-06,Bailey Ober,draftkings,14.5,-150,110,15.52,17.1
2026-09-07,2026-09-07,Brayan Bello,bovada,14.5,-145,105,11.6,13.38
2026-09-07,2026-09-07,Trevor Rogers,fanduel,17.5,-160,122,16.2,14.6
2026-09-09,2026-09-09,Zac Gallen,betmgm,12.5,105,-145,13.4,14.7
2026-09-09,2026-09-09,Rhett Lowder,fanduel,15.5,112,-148,15.31,14.1
2026-09-09,2026-09-09,Daniel Lynch IV,fanduel,14.5,-122,-110,9.26,10.33
2026-09-09,2026-09-09,Zac Gallen,betmgm,12.5,140,-190,13.4,14.7
2026-09-09,2026-09-09,Rhett Lowder,fanduel,15.5,122,-166,15.31,14.1
2026-09-09,2026-09-09,Daniel Lynch IV,fanduel,14.5,-122,-110,9.26,10.33
2026-09-11,2026-09-11,Dustin May,fanduel,15.5,-112,-120,14.81,16.2
2026-09-11,2026-09-11,Dustin May,fanduel,15.5,-112,-120,14.81,16.2
2026-09-12,2026-09-12,Paul Skenes,fanduel,15.5,114,-154,14.28,16.5
2026-09-12,2026-09-12,Connor Prielipp,fanduel,14.5,-138,-102,13.34,14.9
2026-09-12,2026-09-12,Shane Drohan,draftkings,15.5,125,-170,13.81,15.4
