date,home,away,actual_total,opening_total
2021-04-01,NYY,TOR,5,8.0
2021-04-01,MIL,MIN,11,8.12
2021-04-01,CHC,PIT,8,7.0
2021-04-01,PHI,ATL,5,7.38
2021-04-01,CIN,STL,17,7.5
2021-04-01,MIA,TB,1,7.88
2021-04-01,KC,TEX,24,9.0
2021-04-01,SD,ARI,15,8.25
2021-04-01,COL,LAD,13,11.38
2021-04-01,LAA,CHW,7,8.12
2021-04-01,OAK,HOU,9,8.38
2021-04-01,SEA,SF,15,8.5
2021-04-02,BOS,BAL,3,9.33
2021-04-02,MIA,TB,10,7.5
2021-04-02,COL,LAD,17,11.62
2021-04-02,LAA,CHW,20,8.5
2021-04-02,OAK,HOU,14,8.12
2021-04-02,SEA,SF,9,8.12
2021-04-02,SD,ARI,6,8.25
2021-04-03,NYY,TOR,8,9.0
2021-04-03,BOS,BAL,6,10.12
2021-04-03,KC,TEX,15,9.5
2021-04-03,CHC,PIT,6,11.0
2021-04-03,PHI,ATL,4,8.12
2021-04-03,OAK,HOU,10,8.75
2021-04-03,CIN,STL,15,9.12
2021-04-03,MIA,TB,19,8.0
2021-04-03,MIL,MIN,2,7.5
2021-04-03,COL,LAD,11,11.38
2021-04-03,SD,ARI,7,8.5
2021-04-03,LAA,CHW,8,8.62
2021-04-03,SEA,SF,4,8.5
2021-04-04,PHI,ATL,3,8.12
2021-04-04,NYY,TOR,4,9.5
2021-04-04,BOS,BAL,14,10.0
2021-04-04,CIN,STL,13,9.5
2021-04-04,MIL,MIN,10,8.0
2021-04-04,KC,TEX,10,9.62
2021-04-04,CHC,PIT,7,8.5
2021-04-04,COL,LAD,6,11.88
2021-04-04,OAK,HOU,11,8.5
2021-04-04,SD,ARI,4,9.0
2021-04-04,LAA,CHW,11,9.12
2021-04-05,DET,MIN,21,8.5
2021-04-05,TEX,TOR,8,9.5
2021-04-05,NYY,BAL,7,9.62
2021-04-05,CIN,PIT,8,9.0
2021-04-05,MIA,STL,5,8.25
2021-04-05,PHI,NYM,8,7.5
2021-04-05,BOS,TB,13,9.5
2021-04-05,CHC,MIL,8,9.5
2021-04-05,LAA,HOU,13,9.0
2021-04-05,OAK,LAD,13,9.0
2021-04-05,SEA,CHW,6,8.62
2021-04-05,SD,SF,5,8.5
2021-04-06,DET,MIN,7,9.0
2021-04-06,WAS,ATL,11,8.0
2021-04-06,LAA,HOU,6,9.0
2021-04-06,NYY,BAL,9,8.25
2021-04-06,MIA,STL,6,7.75
2021-04-06,CIN,PIT,15,9.0
2021-04-06,PHI,NYM,12,8.88
2021-04-06,BOS,TB,11,9.0
2021-04-06,CHC,MIL,4,9.5
2021-04-06,TEX,TOR,11,9.5
2021-04-06,COL,ARI,18,10.88
2021-04-06,OAK,LAD,6,8.12
2021-04-06,SD,SF,4,7.5
2021-04-06,SEA,CHW,14,7.62
2021-04-07,WAS,ATL,13,6.5
2021-04-07,CIN,PIT,15,8.38
2021-04-07,DET,MIN,5,8.5
2021-04-07,BOS,TB,11,9.0
2021-04-07,TEX,TOR,3,8.5
2021-04-07,CHC,MIL,6,9.0
2021-04-07,OAK,LAD,7,8.5
2021-04-07,PHI,NYM,10,8.12
2021-04-07,SD,SF,5,8.0
2021-04-07,MIA,STL,7,7.5
2021-04-07,SEA,CHW,12,8.62
2021-04-07,NYY,BAL,7,9.5
2021-04-07,COL,ARI,8,11.38
2021-04-08,NYM,MIA,5,8.62
