date,season,game_pk,side,team_id,team,opp_id,opp,sp_id,sp_name,outs,pitches,bf,h,r,er,k,bb,hr,off_pitches,off_bf,hp_ump_id,hp_ump
2021-04-01,2021,634642,home,147,New York Yankees,141,Toronto Blue Jays,543037,Gerrit Cole,16,97,23,5,2,2,8,2,1,181,41,427053,Mark Carlson
2021-04-01,2021,634642,away,141,Toronto Blue Jays,147,New York Yankees,547943,Hyun Jin Ryu,16,92,21,4,2,2,5,1,1,159,38,427053,Mark Carlson
2021-04-01,2021,634645,home,116,Detroit Tigers,114,Cleveland Indians,571510,Matthew Boyd,17,92,24,3,0,0,2,4,0,125,35,427184,Greg Gibson
2021-04-01,2021,634645,away,114,Cleveland Indians,116,Detroit Tigers,669456,Shane Bieber,18,95,27,5,3,3,12,3,1,154,38,427184,Greg Gibson
2021-04-01,2021,634638,home,158,Milwaukee Brewers,142,Minnesota Twins,605540,Brandon Woodruff,12,78,20,6,3,3,5,2,0,151,44,427095,Kerwin Danley
2021-04-01,2021,634638,away,142,Minnesota Twins,158,Milwaukee Brewers,628317,Kenta Maeda,13,88,23,6,2,1,5,2,0,189,47,427095,Kerwin Danley
2021-04-01,2021,634634,home,112,Chicago Cubs,134,Pittsburgh Pirates,543294,Kyle Hendricks,9,63,16,4,3,3,4,3,1,151,34,427533,Mark Wegner
2021-04-01,2021,634634,away,134,Pittsburgh Pirates,112,Chicago Cubs,641771,Chad Kuhl,9,63,14,1,2,1,2,3,0,214,47,427533,Mark Wegner
2021-04-01,2021,634622,home,143,Philadelphia Phillies,144,Atlanta Braves,605400,Aaron Nola,20,84,27,6,2,2,6,0,1,151,43,427344,Bill Miller
2021-04-01,2021,634622,away,144,Atlanta Braves,143,Philadelphia Phillies,608331,Max Fried,15,94,24,6,2,2,8,2,0,134,40,427344,Bill Miller
2021-04-01,2021,634615,home,115,Colorado Rockies,119,Los Angeles Dodgers,608566,Germán Márquez,12,92,21,6,1,1,2,6,0,131,39,427534,Bill Welke
2021-04-01,2021,634615,away,119,Los Angeles Dodgers,115,Colorado Rockies,477132,Clayton Kershaw,17,77,28,10,6,5,2,1,0,190,46,427534,Bill Welke
2021-04-01,2021,634618,home,135,San Diego Padres,109,Arizona Diamondbacks,506433,Yu Darvish,14,93,23,8,4,4,6,1,2,149,39,427019,Ted Barrett
2021-04-01,2021,634618,away,109,Arizona Diamondbacks,135,San Diego Padres,518516,Madison Bumgarner,12,91,23,7,6,6,6,3,2,169,41,427019,Ted Barrett
2021-04-01,2021,634636,home,113,Cincinnati Reds,138,St. Louis Cardinals,622491,Luis Castillo,10,73,21,8,10,8,0,2,1,176,42,427424,Jim Reynolds
2021-04-01,2021,634636,away,138,St. Louis Cardinals,113,Cincinnati Reds,656427,Jack Flaherty,13,94,22,6,6,6,4,2,2,146,41,427424,Jim Reynolds
2021-04-01,2021,634630,home,118,Kansas City Royals,140,Texas Rangers,641745,Brad Keller,4,51,14,9,6,6,0,2,0,200,51,427339,Jerry Meals
2021-04-01,2021,634630,away,140,Texas Rangers,118,Kansas City Royals,502043,Kyle Gibson,1,32,8,4,5,5,1,3,0,202,50,427339,Jerry Meals
2021-04-01,2021,634652,home,146,Miami Marlins,139,Tampa Bay Rays,645261,Sandy Alcantara,18,83,23,2,0,0,7,2,0,121,31,427299,Jerry Layne
2021-04-01,2021,634652,away,139,Tampa Bay Rays,146,Miami Marlins,607192,Tyler Glasnow,18,77,19,1,0,0,6,0,0,138,36,427299,Jerry Layne
2021-04-01,2021,634655,home,108,Los Angeles Angels,145,Chicago White Sox,605164,Dylan Bundy,18,88,25,6,3,3,6,1,1,140,34,427520,Larry Vanover
2021-04-01,2021,634655,away,145,Chicago White Sox,108,Los Angeles Angels,608337,Lucas Giolito,16,87,20,2,2,2,8,2,1,125,35,427520,Larry Vanover
2021-04-01,2021,634640,home,133,Oakland Athletics,117,Houston Astros,605135,Chris Bassitt,16,68,22,4,3,3,3,2,0,155,35,427192,Brian Gorman
2021-04-01,2021,634640,away,117,Houston Astros,133,Oakland Athletics,425844,Zack Greinke,18,82,19,3,0,0,4,0,0,152,43,427192,Brian Gorman
2021-04-01,2021,634625,home,136,Seattle Mariners,137,San Francisco Giants,594835,Marco Gonzales,18,99,27,8,5,5,2,3,3,171,43,427362,Jeff Nelson
2021-04-01,2021,634625,away,137,San Francisco Giants,136,Seattle Mariners,592332,Kevin Gausman,20,90,24,2,1,1,6,2,0,174,43,427362,Jeff Nelson
2021-04-02,2021,634627,home,111,Boston Red Sox,110,Baltimore Orioles,543135,Nathan Eovaldi,16,89,19,4,1,1,4,1,0,136,31,427538,Joe West
2021-04-02,2021,634627,away,110,Baltimore Orioles,111,Boston Red Sox,607644,John Means,21,97,22,1,0,0,5,0,0,164,36,427538,Joe West
2021-04-02,2021,634602,home,146,Miami Marlins,139,Tampa Bay Rays,641154,Pablo López,15,77,18,2,0,0,4,2,0,140,39,427537,Hunter Wendelstedt
2021-04-02,2021,634602,away,139,Tampa Bay Rays,146,Miami Marlins,642232,Ryan Yarbrough,17,65,20,4,0,0,3,0,0,143,36,427537,Hunter Wendelstedt
2021-04-02,2021,634653,home,115,Colorado Rockies,119,Los Angeles Dodgers,622608,Antonio Senzatela,10,70,21,9,7,7,2,1,0,133,37,482620,Chris Conroy
2021-04-02,2021,634653,away,119,Los Angeles Dodgers,115,Colorado Rockies,545333,Trevor Bauer,19,96,25,3,4,4,10,2,2,169,47,482620,Chris Conroy
2021-04-02,2021,634631,home,108,Los Angeles Angels,145,Chicago White Sox,571760,Andrew Heaney,9,70,16,5,7,7,4,2,1,161,40,427243,Marvin Hudson
2021-04-02,2021,634631,away,145,Chicago White Sox,108,Los Angeles Angels,572971,Dallas Keuchel,12,69,19,6,6,4,4,2,1,173,45,427243,Marvin Hudson
2021-04-02,2021,634605,home,133,Oakland Athletics,117,Houston Astros,666200,Jesús Luzardo,15,92,24,8,5,5,8,1,2,164,39,482641,Adrian Johnson
2021-04-02,2021,634605,away,117,Houston Astros,133,Oakland Athletics,664299,Cristian Javier,11,73,15,3,2,2,4,0,0,182,45,482641,Adrian Johnson
2021-04-02,2021,634576,home,135,San Diego Padres,109,Arizona Diamondbacks,605483,Blake Snell,14,86,21,4,0,0,8,2,0,159,36,427220,Angel Hernandez
2021-04-02,2021,634576,away,109,Arizona Diamondbacks,135,San Diego Padres,518876,Merrill Kelly,12,94,18,5,3,3,4,3,1,160,38,427220,Angel Hernandez
2021-04-02,2021,634578,home,136,Seattle Mariners,137,San Francisco Giants,579328,Yusei Kikuchi,18,89,25,6,3,3,10,1,2,152,35,427113,Laz Diaz
2021-04-02,2021,634578,away,137,San Francisco Giants,136,Seattle Mariners,456501,Johnny Cueto,17,105,24,6,3,3,7,3,0,149,39,427113,Laz Diaz
2021-04-03,2021,634644,home,147,New York Yankees,141,Toronto Blue Jays,446372,Corey Kluber,12,74,19,5,2,1,5,3,1,170,41,428442,James Hoye
2021-04-03,2021,634644,away,141,Toronto Blue Jays,147,New York Yankees,548389,Ross Stripling,10,77,19,7,3,3,5,2,1,150,37,428442,James Hoye
2021-04-03,2021,634577,home,111,Boston Red Sox,110,Baltimore Orioles,656557,Tanner Houck,15,85,22,6,3,2,8,1,0,152,37,427292,Ron Kulpa
2021-04-03,2021,634577,away,110,Baltimore Orioles,111,Boston Red Sox,518774,Matt Harvey,14,86,21,6,2,2,4,1,0,136,36,427292,Ron Kulpa
2021-04-03,2021,634573,home,116,Detroit Tigers,114,Cleveland Indians,527054,Julio Teheran,15,90,20,4,1,1,3,3,1,154,39,427013,Lance Barksdale
2021-04-03,2021,634573,away,114,Cleveland Indians,116,Detroit Tigers,668676,Zach Plesac,18,94,26,6,2,2,4,2,0,145,36,427013,Lance Barksdale
