season,team,bp_kpct,bp_bbpct,bp_ip
2021,ARI,0.195,0.0986,218.0
2021,ATH,0.2027,0.0833,438.2
2021,ATL,0.2458,0.0947,470.1
2021,BAL,0.2318,0.0991,437.4
2021,BOS,0.274,0.1087,394.7
2021,CHC,0.2641,0.124,339.7
2021,CHW,0.2855,0.0881,336.5
2021,CIN,0.2773,0.1163,301.9
2021,CLE,0.2587,0.1052,390.7
2021,COL,0.2297,0.1088,387.5
2021,DET,0.2284,0.1215,338.5
2021,HOU,0.268,0.1061,330.0
2021,KC,0.2552,0.1053,372.4
2021,LAA,0.256,0.0953,320.0
2021,LAD,0.2877,0.1057,251.4
2021,MIA,0.2049,0.0822,260.4
2021,MIL,0.3105,0.1081,334.3
2021,MIN,0.261,0.0892,400.0
2021,NYM,0.2933,0.0961,274.8
2021,NYY,0.2936,0.0926,285.0
2021,PHI,0.2534,0.1233,223.5
2021,PIT,0.232,0.105,357.9
2021,SD,0.2344,0.0921,397.4
2021,SEA,0.2626,0.0818,300.1
2021,SF,0.2272,0.059,289.6
2021,STL,0.2498,0.1149,459.2
2021,TB,0.2648,0.0859,218.2
2021,TEX,0.2318,0.0902,310.6
2021,TOR,0.2698,0.0979,244.9
2021,WSH,0.2168,0.1082,323.1
2022,ARI,0.1982,0.0866,379.5
2022,ATH,0.2264,0.1012,414.4
2022,ATL,0.2879,0.079,332.9
2022,BAL,0.2292,0.0773,324.4
2022,BOS,0.221,0.0894,404.7
2022,CHC,0.2323,0.1001,283.3
2022,CHW,0.2515,0.0958,358.0
2022,CIN,0.2436,0.1117,345.3
2022,CLE,0.2879,0.0892,373.6
2022,COL,0.2248,0.1082,412.7
2022,DET,0.2477,0.0884,349.0
2022,HOU,0.2853,0.0926,440.3
2022,KC,0.2259,0.1165,388.3
2022,LAA,0.2213,0.1055,273.9
2022,LAD,0.2724,0.0748,398.0
2022,MIA,0.2646,0.1153,300.8
2022,MIL,0.249,0.0881,442.5
2022,MIN,0.272,0.0795,478.5
2022,NYM,0.2919,0.0797,427.7
2022,NYY,0.248,0.0944,420.8
2022,PHI,0.2604,0.1082,286.7
2022,PIT,0.2417,0.0946,178.2
2022,SD,0.2343,0.0844,221.3
2022,SEA,0.2804,0.081,287.7
2022,SF,0.2141,0.0869,415.2
2022,STL,0.2381,0.089,285.1
2022,TB,0.2492,0.0723,354.1
2022,TEX,0.2322,0.0969,354.5
2022,TOR,0.2278,0.0687,335.4
2022,WSH,0.2314,0.0918,460.5
2023,ARI,0.2288,0.1043,232.8
2023,ATH,0.2197,0.135,226.5
2023,ATL,0.2773,0.085,402.2
2023,BAL,0.2627,0.0876,441.2
2023,BOS,0.2097,0.0735,229.2
2023,CHC,0.2711,0.1063,346.1
2023,CHW,0.2284,0.101,245.8
2023,CIN,0.2241,0.1098,439.2
2023,CLE,0.2464,0.0947,492.4
2023,COL,0.2081,0.1328,261.2
2023,DET,0.2336,0.0985,248.3
2023,HOU,0.2761,0.0943,451.9
2023,KC,0.1791,0.1175,122.4
2023,LAA,0.2357,0.1189,223.8
2023,LAD,0.2546,0.0864,125.3
2023,MIA,0.2862,0.0845,277.7
2023,MIL,0.2545,0.0893,390.3
2023,MIN,0.2665,0.0982,379.7
2023,NYM,0.2324,0.1092,364.2
2023,NYY,0.2276,0.0997,368.0
2023,PHI,0.2789,0.0949,359.7
2023,PIT,0.2591,0.0989,367.0
2023,SD,0.2384,0.1007,355.1
2023,SEA,0.2696,0.0909,380.2
2023,SF,0.2623,0.0899,254.5
2023,STL,0.213,0.0879,344.0
2023,TB,0.2606,0.0837,282.6
2023,TEX,0.246,0.0832,333.4
2023,TOR,0.2567,0.0794,429.4
2023,WSH,0.2079,0.0972,477.1
2024,ARI,0.2202,0.0822,368.1
2024,ATH,0.2551,0.0989,425.4
2024,ATL,0.2754,0.0774,445.0
2024,BAL,0.2646,0.0935,369.2
2024,BOS,0.2425,0.065,314.3
2024,CHC,0.2465,0.1099,245.2
2024,CHW,0.2214,0.143,238.4
2024,CIN,0.2346,0.0917,175.9
2024,CLE,0.2719,0.0731,454.2
2024,COL,0.2019,0.105,369.5
2024,DET,0.2016,0.0744,251.6
2024,HOU,0.263,0.0865,370.9
2024,KC,0.2033,0.0915,432.6
2024,LAA,0.2182,0.1222,281.2
2024,LAD,0.2716,0.0891,307.8
2024,MIA,0.2566,0.0895,319.1
2024,MIL,0.2614,0.0922,270.7
2024,MIN,0.2635,0.0799,449.3
2024,NYM,0.313,0.11,334.2
2024,NYY,0.2635,0.0975,346.0
2024,PHI,0.2666,0.0751,303.1
2024,PIT,0.2519,0.1109,319.5
2024,SD,0.2438,0.0752,436.4
2024,SEA,0.2705,0.0896,376.5
2024,SF,0.2271,0.0729,301.7
2024,STL,0.2225,0.0813,432.0
2024,TB,0.2493,0.0804,346.4
2024,TEX,0.2933,0.103,307.2
2024,TOR,0.1919,0.0907,289.1
2024,WSH,0.2122,0.0812,438.1
2025,ARI,0.2069,0.091,326.8
2025,ATH,0.2131,0.1247,266.0
2025,ATL,0.2496,0.078,286.3
2025,BAL,0.2347,0.1079,246.1
2025,BOS,0.2521,0.0892,405.3
2025,CHC,0.2201,0.0864,256.0
2025,CHW,0.2124,0.1179,165.6
2025,CIN,0.24,0.1009,356.2
2025,CLE,0.2601,0.088,431.6
2025,COL,0.2063,0.1004,396.4
2025,DET,0.203,0.0849,260.4
2025,HOU,0.2955,0.0887,319.8
