date,home,away,venue,total_runs,opening_total,closing_total,temp,relh,eff_wind
2023-03-30,WSH,ATL,Nationals Park,9,7.833,7.5,45.0,29.0,8.0
2023-03-30,NYY,SF,Yankee Stadium,5,7.417,6.5,39.0,27.6,0.0
2023-03-30,BOS,BAL,Fenway Park,19,9.167,8.5,38.0,19.1,0.0
2023-03-30,CHC,MIL,Wrigley Field,4,7.5,6.583,42.0,31.3,0.0
2023-03-30,TEX,PHI,Globe Life Field,18,6.5,6.5,69.0,78.3,0.0
2023-03-30,CIN,PIT,Great American Ball Park,9,8.417,8.25,61.0,37.4,-6.0
2023-03-30,STL,TOR,Busch Stadium,19,7.583,7.5,70.0,29.6,16.0
2023-03-30,KC,MIN,Kauffman Stadium,2,8.583,9.0,67.0,54.5,0.0
2023-03-30,SD,COL,Petco Park,9,7.5,7.083,56.0,74.7,0.0
2023-03-30,ATH,LAA,Oakland Coliseum,3,6.917,7.083,52.0,63.2,10.0
2023-03-30,LAD,ARI,Dodger Stadium,10,7.333,7.167,54.0,71.1,4.0
2023-03-30,SEA,CLE,T-Mobile Park,3,6.5,6.5,54.0,55.9,11.0
2023-03-31,MIA,NYM,loanDepot park,3,7.667,7.917,80.0,59.8,-13.0
2023-03-31,SD,COL,Petco Park,5,8.5,7.75,58.0,71.9,0.0
2023-03-31,LAD,ARI,Dodger Stadium,3,8.083,7.5,56.0,59.4,0.0
2023-04-01,STL,TOR,Busch Stadium,5,7.583,7.833,46.0,49.5,23.0
2023-04-01,CHC,MIL,Wrigley Field,4,6.75,6.583,39.0,69.7,-23.0
2023-04-01,TEX,PHI,Globe Life Field,19,7.417,7.667,71.0,21.6,-8.0
2023-04-01,WSH,ATL,Nationals Park,8,8.25,9.0,73.0,53.4,18.0
2023-04-01,NYY,SF,Yankee Stadium,12,8.417,8.5,68.0,37.8,16.0
2023-04-01,ATH,LAA,Oakland Coliseum,14,8.083,7.5,58.0,55.4,7.0
2023-04-01,BOS,BAL,Fenway Park,17,9.083,9.5,56.0,77.5,0.0
2023-04-01,CIN,PIT,Great American Ball Park,8,8.5,8.5,45.0,67.2,0.0
2023-04-01,KC,MIN,Kauffman Stadium,2,8.5,8.0,55.0,23.3,0.0
2023-04-01,SD,COL,Petco Park,12,8.583,8.167,60.0,64.5,0.0
2023-04-01,LAD,ARI,Dodger Stadium,11,8.083,7.75,64.0,35.2,7.0
2023-04-01,SEA,CLE,T-Mobile Park,2,7.417,7.0,47.0,59.5,11.0
2023-04-02,BOS,BAL,Fenway Park,14,9.083,9.0,43.0,24.9,8.0
2023-04-02,WSH,ATL,Nationals Park,5,8.833,8.5,54.0,33.8,10.0
2023-04-02,NYY,SF,Yankee Stadium,6,8.333,8.25,47.0,18.7,0.0
2023-04-02,CIN,PIT,Great American Ball Park,4,8.917,8.917,49.0,70.4,0.0
2023-04-02,KC,MIN,Kauffman Stadium,11,8.25,9.0,72.0,27.9,0.0
2023-04-02,STL,TOR,Busch Stadium,13,8.0,7.667,63.0,33.2,-13.0
2023-04-02,CHC,MIL,Wrigley Field,14,8.833,9.0,47.0,51.8,7.0
2023-04-02,ATH,LAA,Oakland Coliseum,6,8.0,7.583,56.0,57.4,14.0
2023-04-02,LAD,ARI,Dodger Stadium,3,8.75,8.583,68.0,48.4,5.0
2023-04-02,SD,COL,Petco Park,4,8.083,8.0,62.0,61.9,0.0
2023-04-02,SEA,CLE,T-Mobile Park,11,7.917,8.0,44.0,65.0,4.0
2023-04-03,CHW,SF,Guaranteed Rate Field,15,8.333,7.917,57.0,39.0,-9.0
2023-04-03,CIN,CHC,Great American Ball Park,13,8.417,9.0,71.0,49.0,0.0
2023-04-03,MIA,MIN,loanDepot park,12,7.667,7.917,83.0,67.1,11.0
2023-04-03,WSH,TB,Nationals Park,8,7.917,8.0,70.0,56.0,0.0
2023-04-03,NYY,PHI,Yankee Stadium,9,7.917,7.5,53.0,58.4,17.0
2023-04-03,BOS,PIT,Fenway Park,13,9.5,9.5,50.0,44.1,6.0
2023-04-03,KC,TOR,Kauffman Stadium,14,8.417,8.0,73.0,56.6,0.0
2023-04-03,STL,ATL,Busch Stadium,12,8.083,8.167,77.0,49.8,0.0
2023-04-03,HOU,DET,Minute Maid Park,13,8.417,8.083,73.0,71.1,0.0
2023-04-03,ATH,CLE,Oakland Coliseum,23,7.5,7.583,54.0,58.4,0.0
2023-04-03,SD,ARI,Petco Park,9,8.333,8.167,56.0,52.7,16.0
2023-04-03,SEA,LAA,T-Mobile Park,10,7.25,7.167,45.0,57.5,0.0
2023-04-03,LAD,COL,Dodger Stadium,17,8.75,8.5,57.0,22.8,0.0
2023-04-04,SD,ARI,Petco Park,14,7.167,7.0,57.0,33.0,0.0
2023-04-04,CIN,CHC,Great American Ball Park,17,9.083,9.25,76.0,66.3,0.0
2023-04-04,MIA,MIN,loanDepot park,1,7.0,6.917,83.0,62.6,-10.0
2023-04-04,WSH,TB,Nationals Park,16,8.667,9.0,80.0,56.8,0.0
2023-04-04,NYY,PHI,Yankee Stadium,5,8.5,8.5,65.0,72.4,0.0
2023-04-04,BOS,PIT,Fenway Park,5,9.083,8.917,50.0,89.2,-4.0
2023-04-04,KC,TOR,Kauffman Stadium,5,9.5,10.167,80.0,57.8,0.0
2023-04-04,STL,ATL,Busch Stadium,5,8.5,9.583,82.0,47.6,18.0
2023-04-04,ATH,CLE,Oakland Coliseum,7,7.083,6.833,54.0,61.1,0.0
2023-04-04,SEA,LAA,T-Mobile Park,13,7.5,7.25,50.0,37.5,2.0
2023-04-04,LAD,COL,Dodger Stadium,7,7.667,7.5,58.0,43.0,0.0
2023-04-05,WSH,TB,Nationals Park,9,8.083,8.5,83.0,49.5,11.0
2023-04-05,NYY,PHI,Yankee Stadium,6,6.917,6.5,48.0,82.7,0.0
2023-04-05,MIA,MIN,loanDepot park,7,7.25,7.0,84.0,56.5,-14.0
2023-04-05,STL,ATL,Busch Stadium,7,8.833,8.917,60.0,79.5,10.0
2023-04-05,BOS,PIT,Fenway Park,5,9.083,8.5,41.0,70.1,5.0
2023-04-05,CHW,SF,Guaranteed Rate Field,10,7.417,7.5,67.0,77.4,23.0
